cz,cz_name,state,region,division,pop_2000,top_100,urban,abs_mobility,prob_q1q5,frac_black,frac_commute_under15,hhi_percap,top1inc_share,taxrate,inctax_progressive
38901,Eugene,OR,West,Pacific,"936,387",1,urban,40,0.078895815,0.0068433,0.381,34589,10.922,0.027,0
38902,Newport,OR,West,Pacific,"68,741",0,rural,41,0.072574481,0.0022548,0.49,36264,7.284,0.035,0
39000,Yakima,WA,West,Pacific,"255,943",0,urban,43,0.081706583,0.0080838,0.427,30403,10.008,0.015,0
39100,Kennewick,WA,West,Pacific,"332,609",0,urban,44,0.105854802,0.0113467,0.453,34510,8.535,0.018,0
39201,La Grande,OR,West,Pacific,"41,271",0,rural,45,0.087674715,0.0037314,0.645,31277,7.199,0.025,0
39202,Enterprise,OR,West,Pacific,"7,226",0,rural,48,0.143790856,0.0002768,0.644,34762,30.487,0.016,0
39203,Bend,OR,West,Pacific,"153,558",0,urban,41,0.081726357,0.0016671,0.474,37787,11.325,0.029,0
39204,Condon,OR,West,Pacific,"3,462",0,rural,,0.108695649,0.0011554,0.546,33476,,0.033,0
39205,John Day,OR,West,Pacific,"7,935",0,rural,50,0.11585366,0.0010082,0.579,32736,4.4,0.013,0
39301,Friday Harbor,WA,West,Pacific,"14,077",0,rural,39,0.101694912,0.0024153,0.628,58628,60.527,0.018,0
39302,Bellingham,WA,West,Pacific,"166,814",0,urban,44,0.115575127,0.0063844,0.418,35491,12.245,0.021,0
39303,Port Angeles,WA,West,Pacific,"90,478",0,rural,41,0.085840061,0.0068525,0.486,39625,12.848,0.015,0
39400,Seattle,WA,West,Pacific,"3,775,744",1,urban,43,0.108550951,0.0431878,0.24,44591,18.7,0.021,0
